graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,dan,most_congested_route,ratio
erdos-renyi,35,16,31.0,0.01103988603988604,0.9918091168091168,16,16,"[T10 W: 0, T6 W: 17.0, T19 W: 0]",0.45
erdos-renyi,35,16,42.0,0.016216216216216217,0.9416988416988417,16,16,"[T21 W: 0, T15 W: 11.0, T18 W: 9.0, T32 W: 0]",0.45
erdos-renyi,35,9,31.0,0.01789838337182448,0.9763279445727483,24,24,"[T23 W: 0, T10 W: 15.0, T26 W: 0]",0.25
erdos-renyi,35,9,31.0,0.018787878787878787,1.0751515151515152,24,24,"[T3 W: 0, T8 W: 15.0, T21 W: 0]",0.25
erdos-renyi,35,9,25.0,0.019319938176197836,0.848531684698609,24,24,"[T4 W: 0, T3 W: 16.0, T32 W: 0]",0.25
erdos-renyi,35,9,24.0,0.01680672268907563,0.9026610644257703,24,24,"[T12 W: 0, T34 W: 13.0, T29 W: 0]",0.25
erdos-renyi,35,9,35.0,0.022068095838587643,0.8556116015132409,24,24,"[T4 W: 0, T6 W: 18.0, T21 W: 0]",0.25
erdos-renyi,35,12,26.0,0.011926605504587157,0.8619266055045871,24,24,"[T6 W: 0, T10 W: 13.0, T14 W: 0]",0.33
erdos-renyi,35,12,32.0,0.014311270125223614,1.0818425760286225,24,24,"[T20 W: 0, T9 W: 17.0, T21 W: 0]",0.33
erdos-renyi,35,12,29.0,0.014587525150905433,0.8435613682092555,24,24,"[T17 W: 0, T21 W: 12.0, T24 W: 0]",0.33
erdos-renyi,35,12,36.0,0.018789144050104383,0.8100208768267223,24,24,"[T6 W: 0, T25 W: 18.0, T7 W: 0]",0.33
erdos-renyi,35,12,28.0,0.014957264957264958,0.9476495726495726,24,24,"[T15 W: 0, T12 W: 13.0, T32 W: 0]",0.33
erdos-renyi,35,16,28.0,0.011391375101708706,0.967046379170057,24,24,"[T4 W: 0, T31 W: 15.0, T28 W: 0]",0.45
erdos-renyi,35,16,29.0,0.010386819484240688,0.9401862464183381,24,24,"[T6 W: 0, T22 W: 14.0, T32 W: 0]",0.45
erdos-renyi,35,16,29.0,0.0100974930362117,1.0167130919220055,24,24,"[T0 W: 0, T10 W: 14.0, T25 W: 0]",0.45
erdos-renyi,35,16,33.0,0.01262433052792655,0.9326702371843917,24,24,"[T33 W: 0, T21 W: 15.0, T34 W: 0]",0.45
erdos-renyi,35,16,28.0,0.010760953112990008,0.8785549577248271,24,24,"[T10 W: 0, T27 W: 14.0, T23 W: 0]",0.45
